A12,A4,CBS432,CBS5829,DBVPG4650,DBVPG6304,IFO1804,KPN3828,KPN3829,N_17,N_43,N_44,N_45,Q32_3,Q59_1,Q62_5,Q89_8,Q95_3,S36_7,T21_4,UFRJ50791,UFRJ50816,Y6_5,Y7,YPS138,Z1_1
0.000000,0.032441,0.285158,0.296980,0.282141,0.070625,0.324412,?,0.292036,0.274811,0.327705,0.321299,0.299761,0.276700,0.275205,0.281590,0.275750,?,0.275750,0.278994,?,0.055150,0.278994,0.278994,0.064882,0.278994
0.032441,0.000000,0.291646,0.303468,0.292860,0.051160,0.330900,0.298541,0.298525,0.287787,0.334193,?,0.312738,0.289677,0.288182,0.294566,0.288727,0.288727,0.288727,0.291971,0.048662,0.081103,0.291971,0.291971,0.038929,0.291971
0.285158,0.291646,0.000000,0.011513,?,0.322731,0.122952,?,0.006570,0.015979,0.126245,0.119348,0.110162,0.016846,0.016344,?,0.015896,0.015896,0.015896,0.019140,0.314355,0.307867,0.019140,0.019140,0.304623,0.019140
0.296980,0.303468,0.011513,0.000000,0.014069,0.334552,0.116292,0.011579,0.011563,0.027800,?,0.118684,0.116281,?,0.028165,0.034337,0.027718,?,0.027718,?,0.326177,0.319688,?,0.030962,0.316444,0.030962
0.282141,0.292860,?,0.014069,0.000000,0.324245,0.125849,0.009142,0.009126,?,?,0.122245,0.106864,?,0.009451,0.015268,0.008649,0.008649,0.008649,0.009345,0.315569,0.304850,0.009345,0.011893,0.310067,0.011893
0.070625,0.051160,0.322731,0.334552,0.324245,0.000000,0.368473,0.329626,0.329609,0.319467,0.371766,0.365360,0.350581,0.321372,?,0.326262,0.320422,?,?,0.323666,0.073869,0.093334,0.323666,0.323666,0.070014,0.323666
0.324412,0.330900,0.122952,0.116292,0.125849,0.368473,0.000000,0.123359,0.123342,0.122745,0.009781,0.009864,0.019662,0.124227,0.126968,0.126652,0.126521,0.126521,0.126521,0.123277,0.356853,?,0.123277,0.129765,0.350365,0.129765
?,0.298541,?,0.011579,0.009142,0.329626,0.123359,0.000000,0.000148,0.022874,0.126652,0.119755,0.117057,0.020497,0.023238,0.029410,0.022791,0.022791,0.022791,0.019547,0.321250,0.314762,0.019547,?,0.311518,0.026035
0.292036,0.298525,0.006570,0.011563,0.009126,0.329609,0.123342,0.000148,0.000000,0.022857,0.126635,0.119738,0.117040,0.020480,0.023222,0.029394,0.022774,0.022774,0.022774,0.019530,0.321233,0.314745,0.019530,0.026019,0.311501,0.026019
0.274811,0.287787,0.015979,0.027800,?,0.319467,0.122745,0.022874,0.022857,0.000000,0.126038,?,0.096708,?,?,0.012850,0.006230,0.006230,0.006230,0.009474,0.310496,0.297504,0.009474,0.009474,0.307252,0.009474
0.327705,0.334193,0.126245,?,?,0.371766,0.009781,0.126652,0.126635,0.126038,0.000000,0.006669,?,0.127520,0.130261,0.129945,?,0.129814,0.129814,0.126570,0.363390,0.356902,?,0.133058,0.353658,0.133058
0.321299,?,0.119348,0.118684,0.122245,0.365360,0.009864,0.119755,0.119738,?,0.006669,0.000000,0.023210,0.120623,0.123364,0.123048,?,0.122917,0.122917,0.119672,0.356985,0.350496,0.119672,0.126161,0.347252,0.126161
0.299761,0.312738,0.110162,0.116281,0.106864,0.350581,0.019662,0.117057,0.117040,0.096708,?,0.023210,0.000000,0.101363,0.100797,0.100544,0.100413,0.100413,0.100413,0.103657,0.338350,0.325373,0.103657,0.103657,0.338350,0.103657
0.276700,0.289677,0.016846,?,?,0.321372,0.124227,0.020497,0.020480,?,0.127520,0.120623,0.101363,0.000000,0.002112,0.007570,0.000950,0.000950,0.000950,0.000950,0.312386,0.299409,0.000950,0.004194,0.309142,0.004194
0.275205,0.288182,0.016344,0.028165,0.009451,?,0.126968,0.023238,0.023222,?,0.130261,0.123364,0.100797,0.002112,0.000000,0.007459,0.001162,0.001162,0.001162,0.004406,0.310891,0.297914,0.004406,0.004406,0.307647,0.004406
0.281590,0.294566,?,0.034337,0.015268,0.326262,0.126652,0.029410,0.029394,0.012850,0.129945,0.123048,0.100544,0.007570,0.007459,0.000000,?,?,0.006619,0.009863,0.317275,0.304298,0.009863,0.009863,0.314031,0.003375
0.275750,0.288727,0.015896,0.027718,0.008649,0.320422,0.126521,0.022791,0.022774,0.006230,?,?,0.100413,0.000950,0.001162,?,0.000000,0.000000,0.000000,0.003244,0.311436,0.298459,0.003244,0.003244,0.308191,0.003244
?,0.288727,0.015896,?,0.008649,?,0.126521,0.022791,0.022774,0.006230,0.129814,0.122917,0.100413,0.000950,0.001162,?,0.000000,0.000000,0.000000,0.003244,0.311436,0.298459,0.003244,0.003244,0.308191,0.003244
0.275750,0.288727,0.015896,0.027718,0.008649,?,0.126521,0.022791,0.022774,0.006230,0.129814,0.122917,0.100413,0.000950,0.001162,0.006619,0.000000,0.000000,0.000000,0.003244,?,0.298459,?,0.003244,0.308191,0.003244
0.278994,0.291971,0.019140,?,0.009345,0.323666,0.123277,0.019547,0.019530,0.009474,0.126570,0.119672,0.103657,0.000950,0.004406,0.009863,0.003244,0.003244,0.003244,0.000000,0.314680,0.301703,0.000000,0.006488,0.311436,0.006488
?,0.048662,0.314355,0.326177,0.315569,0.073869,0.356853,0.321250,0.321233,0.310496,0.363390,0.356985,0.338350,0.312386,0.310891,0.317275,0.311436,0.311436,?,0.314680,0.000000,0.032441,0.314680,0.314680,0.074615,?		
0.278994,0.291971,0.019140,?,0.009345,0.323666,0.123277,0.019547,0.019530,0.009474,?,0.119672,0.103657,0.000950,0.004406,0.009863,0.003244,0.003244,?,0.000000,0.314680,0.301703,0.000000,0.006488,0.311436,0.006488
0.278994,0.291971,0.019140,0.030962,0.011893,0.323666,0.129765,?,0.026019,0.009474,0.133058,0.126161,0.103657,0.004194,0.004406,0.009863,0.003244,0.003244,0.003244,0.006488,0.314680,0.301703,0.006488,0.000000,0.311436,0.006488
0.064882,0.038929,0.304623,0.316444,0.310067,0.070014,0.350365,0.311518,0.311501,0.307252,0.353658,0.347252,0.338350,0.309142,0.307647,0.314031,0.308191,0.308191,0.308191,0.311436,0.074615,0.100568,0.311436,0.311436,0.000000,0.311436
